State/UTs,Urban ,Rural,Total
Andhra Pradesh,1688,4843,6531
Arunachal Pradesh,41,20,61
Assam,1343,1140,2483
Bihar,1557,4640,6197
Chhattisgarh,755,3479,4234
Goa,51,162,213
Gujarat,1440,4182,5622
Haryana,1632,2549,4181
Himachal Pradesh,81,653,734
Jammu and Kashmir,152,471,623
Jharkhand,1137,1638,2775
Karnataka,2439,6645,9084
Kerala,705,2118,2823
Madhya Pradesh,2827,7047,9874
Maharashtra,2976,7797,10773
Manipur,24,88,112
Meghalaya,44,86,130
Mizoram,20,21,41
Nagaland,25,21,46
Orissa,1162,3229,4391
Punjab,1451,2195,3646
Rajasthan,2104,6259,8363
Sikkim,13,21,34
Tamil Nadu,2758,4801,7559
Telangana,2451,3978,6429
Tripura,66,113,179
Uttarakhand,251,341,592
Uttar Pradesh,7591,9484,17075
West Bengal,1091,3491,4582
Andaman and Nicobar Islands,4,8,12
Chandigarh,46,4,50
Dadra and Nagar Haveli,9,52,61
Daman and Diu,NA,NA,0
Delhi,1093,70,1163
Lakshadweep,0,0,0
Puducherry,62,71,133
Total,39089,81717,120806
