Sl. No.,State/UT,Less than 18 Years - Male,Less than 18 Years - Female,18-25 Years - Male,18-25 Years - Female,25-35 Years - Male,25-35 Years - Female,35-45 Years - Male,35-45 Years - Female,45-60 Years - Male,45-60 Years - Female,60 and Above - Male,60 and Above - Female,Age not known - Male,Age not known - Female
1,Andhra Pradesh,247,83,1220,164,1625,232,1648,225,1256,255,475,111,15,0
2,Arunachal Pradesh,14,2,32,4,42,8,37,8,20,2,6,0,0,0
3,Assam,116,22,806,93,789,102,590,111,250,33,21,9,15,9
4,Bihar,298,87,1435,235,1467,222,1222,220,974,128,363,78,0,0
5,Chhattisgarh,230,54,950,85,1376,128,843,123,454,82,131,49,71,16
6,Goa,6,5,39,6,55,6,41,8,49,12,26,9,0,0
7,Gujarat,327,81,1462,236,1995,319,1620,301,953,185,258,59,179,21
8,Haryana,300,53,1004,96,1152,121,973,91,650,67,225,35,329,22
9,Himachal Pradesh,57,39,173,19,319,29,191,27,192,48,85,29,0,0
10,Jammu & Kashmir,47,14,216,38,264,23,197,41,68,20,21,0,33,2
11,Jharkhand,189,57,890,73,693,85,420,61,354,37,52,8,564,59
12,Karnataka,308,104,2069,312,2843,368,2293,330,1494,274,470,125,0,0
13,Kerala,135,57,676,29,525,52,526,90,835,229,882,239,25,3
14,Madhya Pradesh,736,175,2212,253,2814,368,1860,277,1067,223,490,96,109,26
15,Maharashtra,366,99,2413,331,3129,476,2903,398,1971,274,563,113,207,18
16,Manipur,12,3,19,3,23,2,25,3,30,3,5,0,6,0
17,Meghalaya,0,0,28,10,46,17,41,15,23,2,0,0,0,0
18,Mizoram,3,1,7,2,10,3,8,1,4,2,2,2,0,0
19,Nagaland,2,0,8,4,9,2,5,1,5,0,1,0,2,0
20,Odisha,281,55,1102,105,1370,138,1058,119,658,91,151,24,150,13
21,Punjab,170,33,925,129,1168,204,865,189,677,117,155,30,74,4
22,Rajasthan,481,132,2502,274,2878,342,2162,236,938,131,164,37,40,3
23,Sikkim,5,1,18,6,18,7,14,4,8,1,2,0,1,0
24,Tamil Nadu,581,223,1856,363,2350,493,2241,486,1787,428,1054,315,35,4
25,Telangana,248,92,1114,132,1587,261,1317,257,921,204,376,94,0,0
26,Tripura,8,3,63,5,58,5,31,9,21,3,5,0,2,0
27,Uttarakhand,53,23,190,41,245,46,207,49,106,33,31,16,4,3
28,Uttar Pradesh,2246,518,4424,798,4363,785,3570,579,2304,354,922,155,1060,178
29,West Bengal,253,123,562,49,1231,119,931,155,1035,186,293,79,595,100
30,Andaman & Nicobar Islands,1,0,4,1,7,0,4,0,0,1,0,1,0,0
31,Chandigarh,8,3,14,4,16,2,16,2,15,1,14,3,0,0
32,Dadra & Nagar Haveli,2,1,10,2,10,3,8,1,10,2,4,1,0,0
33,Daman & Diu,2,1,12,1,9,0,5,0,4,0,1,0,0,0
34,Delhi,72,12,350,34,417,45,292,39,162,18,78,10,137,24
35,Lakshadweep,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,Puducherry,13,4,30,5,40,4,46,6,47,9,17,5,0,0
Total,Total,7817,2160,28835,3942,34943,5017,28210,4462,19343,3455,7343,1732,3653,505
