State/UT,Less than 18 years - Male,Less than 18 years - Female,18-25 Years - Male,18-25 Years - Female,25-35 Years - Male,25-35 Years - Female,35-45 Years - Male,35-45 Years - Female,45-60 Years - Male,45-60 Years - Female,60 and Above - Male,60 and Above - Female,Age not known - Male,Age not known - Female,Total - Male,Total - Female
Andhra Pradesh,293,88,1225,149,1808,228,1566,277,1445,278,657,153,15,4,7009,1177
Arunachal Pradesh,8,1,47,6,41,7,28,1,17,1,0,0,0,0,141,16
Assam,228,54,795,118,716,125,561,80,278,47,6,11,9,8,2593,443
Bihar,475,174,1687,352,1436,397,1147,262,930,186,320,106,142,46,6137,1523
Chhattisgarh,279,67,1225,131,1366,124,947,127,648,100,200,58,89,10,4754,617
Goa,0,0,44,4,55,5,32,6,45,5,25,5,0,0,201,25
Gujarat,328,85,1334,159,1828,271,1597,227,1043,155,322,74,26,3,6478,974
Haryana,149,40,791,86,860,114,626,70,363,61,155,31,1271,89,4215,491
Himachal Pradesh,42,12,181,16,259,29,173,15,177,39,77,32,0,0,909,143
Jharkhand,175,22,678,61,813,71,603,63,320,28,142,23,415,99,3146,367
Karnataka,281,95,1925,232,2412,328,1926,324,1460,300,598,157,0,0,8602,1436
Kerala,55,15,463,27,451,34,426,65,752,177,732,118,103,11,2982,447
Madhya Pradesh,616,223,2263,393,2730,517,2269,399,1401,283,493,115,305,50,10077,1980
Maharashtra,314,59,2255,151,3414,333,3246,392,2287,295,495,127,149,11,12160,1368
Manipur,5,0,33,4,32,2,16,0,7,2,6,1,2,0,101,9
Meghalaya,21,3,33,4,68,4,27,3,13,5,5,1,0,0,167,20
Mizoram,4,1,9,1,12,0,8,5,12,1,1,2,0,0,46,10
Nagaland,2,0,16,0,14,1,12,1,1,0,0,0,7,1,52,3
Orissa,167,36,1065,123,1393,155,1007,122,617,72,189,34,96,5,4534,547
Punjab,147,19,964,195,893,215,794,142,632,122,327,55,74,10,3831,758
Rajasthan,309,73,2451,260,2795,329,2038,249,1076,168,205,36,46,8,8920,1123
Sikkim,0,0,10,4,24,8,8,2,0,0,0,0,0,0,42,14
Tamil Nadu,356,104,1592,122,2705,244,2297,335,3446,698,2657,780,32,16,13085,2299
Telangana,233,60,1183,109,1994,230,1654,245,1173,201,367,98,8,2,6612,945
Tripura,5,1,29,1,44,11,35,3,45,7,9,4,0,0,167,27
Uttarakhand,28,9,150,25,232,26,149,12,121,13,41,12,2,0,723,97
Uttar Pradesh,1187,260,4635,724,4812,675,3875,535,2462,363,823,130,612,134,18406,2821
West Bengal,238,88,715,95,1199,140,1099,155,1020,264,474,118,164,31,4909,891
Andaman and Nicobar Islands,0,0,4,0,6,0,5,0,4,0,1,0,0,0,20,0
Chandigarh,5,0,7,2,20,4,21,2,18,6,8,3,0,0,79,17
Dadra and Nagar Haveli,5,0,14,1,21,1,11,5,10,2,5,1,0,0,66,10
Daman and Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Delhi,19,3,134,25,318,21,240,15,267,15,56,11,105,10,1139,100
Jammu and Kashmir,158,35,100,78,108,62,87,31,49,16,19,5,26,0,547,227
Ladakh,0,0,15,1,20,6,6,2,6,0,0,0,0,0,47,9
Lakshadweep,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Puducherry,4,0,16,3,28,2,32,1,26,4,20,3,1,0,127,13
Total ,6137,1627,28088,3662,34927,4719,28568,4173,22171,3914,9435,2304,3699,548,133025,20947
