Sl. No.,States/UTs,Urban,Rural,Total
1,Andhra Pradesh,1704,5294,6998
2,Arunachal Pradesh,98,36,134
3,Assam,1493,1336,2829
4,Bihar,2156,4088,6244
5,Chhattisgarh,1185,3032,4217
6,Goa,71,177,248
7,Gujarat,2114,5062,7176
8,Haryana,2132,2674,4806
9,Himachal Pradesh,106,820,926
10,Jammu & Kashmir,221,588,809
11,Jharkhand,1064,2197,3261
12,Karnataka,3321,6772,10093
13,Kerala,1168,2901,4069
14,Madhya Pradesh,2842,6879,9721
15,Maharashtra,3718,8380,12098
16,Manipur,36,86,122
17,Meghalaya,110,55,165
18,Mizoram,22,17,39
19,Nagaland,21,14,35
20,Odisha,1459,3402,4861
21,Punjab,1899,2580,4479
22,Rajasthan,2202,7093,9295
23,Sikkim,21,30,51
24,Tamil Nadu,4059,7316,11375
25,Telangana,2353,3698,6051
26,Tripura,63,131,194
27,Uttarakhand,343,454,797
28,Uttar Pradesh,8521,10843,19364
29,West Bengal,1530,3655,5185
30,Andaman & Nicobar Islands,5,13,18
31,Chandigarh,90,7,97
32,Dadra & Nagar Haveli,26,26,52
33,Daman & Diu,9,25,34
34,Delhi,1450,207,1657
35,Lakshadweep,0,1,1
36,Puducherry,132,93,225
Total,Total,47744,89982,137726
