Years,Total Number of Road Accidents (in numbers) ,Road Length (in kms),Total Number of Persons Killed (in numbers) ,Total Number of Persons Injured (in numbers)
1970,114100.0,1188728.0,14500.0,70100.0
1980,153200.0,1491873.0,24000.0,109100.0
1990,282600.0,1983867.0,54100.0,244100.0
1994,325864.0,2890950.0,64463.0,311500.0
1995,351999.0,2975035.0,70781.0,323200.0
1996,371204.0,3202515.0,74665.0,369502.0
1997,373671.0,3298788.0,76977.0,378361.0
1998,385018.0,3228356.0,79919.0,390674.0
1999,386456.0,3296650.0,81966.0,375051.0
2000,391449.0,3316078.0,78911.0,399265.0
2001,405637.0,3373520.0,80888.0,405216.0
2002,407497.0,3426603.0,84674.0,408711.0
2003,406726.0,3528654.0,85998.0,435122.0
2004,429910.0,3621507.0,92618.0,464521.0
2005,439255.0,3809156.0,94968.0,465282.0
2006,460920.0,3880651.0,105749.0,496481.0
2007,479216.0,4016401.0,114444.0,513340.0
2008,484704.0,4109592.0,119860.0,523193.0
2009,486384.0,4471510.0,125660.0,515458.0
2010,499628.0,4582439.0,134513.0,527512.0
2011,497686.0,4676838.0,142485.0,511394.0
2012,490383.0,4865394.0,138258.0,509667.0
2013,486476.0,5231922.0,137572.0,494893.0
2014,489400.0,5402486.0,139671.0,493474.0
2015,501423.0,5472144.0,146133.0,500279.0
2016,480652.0,5603293.0,150785.0,494624.0
2017,464910.0,5897671.0,147913.0,470975.0
2018,467044.0,6125797.0,151417.0,469418.0
2019,449002.0,,151113.0,451361.0
